customer_id,week,logins,leads_created,features_used
CUST_001,Week_1,18,45,5
CUST_001,Week_2,20,48,6
CUST_001,Week_3,17,42,5
CUST_001,Week_4,5,10,2

CUST_002,Week_1,12,30,4
CUST_002,Week_2,14,35,4
CUST_002,Week_3,16,38,5
CUST_002,Week_4,18,40,5

CUST_003,Week_1,25,60,6
CUST_003,Week_2,10,20,3
CUST_003,Week_3,6,12,2
CUST_003,Week_4,3,5,1

CUST_004,Week_1,8,15,3
CUST_004,Week_2,9,18,3
CUST_004,Week_3,11,22,4
CUST_004,Week_4,13,25,4

CUST_005,Week_1,30,75,7
CUST_005,Week_2,28,70,6
CUST_005,Week_3,26,65,6
CUST_005,Week_4,24,60,5

CUST_006,Week_1,5,8,2
CUST_006,Week_2,6,10,2
CUST_006,Week_3,5,9,2
CUST_006,Week_4,4,7,1

CUST_007,Week_1,3,5,1
CUST_007,Week_2,6,12,2
CUST_007,Week_3,12,28,4
CUST_007,Week_4,20,45,5

CUST_008,Week_1,15,35,4
CUST_008,Week_2,8,18,3
CUST_008,Week_3,16,40,5
CUST_008,Week_4,9,20,3
